TYP_ZVÍŘETE;JMÉNO_ZVÍŘETE;GENDER
Lizard;lazy bovid;Z
Lion;final armadillo;M
Cat;clever earthworm;Z
Cat;tremendous wallaby;Z
Lizard;medical porpoise;Z
Parrot;white lizard;M
Parrot;fair dolphin;M
Bear;pale viper;M
Donkey;new llama;Z
Fox;silly porpoise;Z
Dog;dead crayfish;Z
Bear;inadequate tick;Z
Parrot;dry landfowl;M
Parrot;artistic donkey;Z
Cat;different tuna;Z
Lion;wild tick;Z
Lizard;wee amphibian;M
Fox;whispering lizard;Z
Horse;stuck orca;Z
Horse;blue kingfisher;Z
Horse;ultimate orca;Z
Tiger;weak ferret;M
Lion;wide hedgehog;M
Dog;mad landfowl;M
Bear;religious giraffe;M
Lion;labour landfowl;Z
Dog;quiet albatross;Z
Parrot;northern ferret;M
Lion;agreeable angelfish;Z
Lion;intellectual hamster;M
Dog;relevant prawn;M
Parrot;tremendous dog;M
Donkey;institutional whippet;Z
Lion;ideal anaconda;Z
Lizard;disgusted mollusk;M
Lizard;ugly clownfish;M
Fox;gastric earthworm;M
Bear;average reptile;M
Bear;yellow cardinal;Z
Parrot;extreme bedbug;M
Bear;moaning tick;M
Fox;relaxed squirrel;Z
Donkey;eventual wildebeest;Z
Tiger;bright mammal;M
Horse;integral lizard;Z
Bear;mobile camel;M
Lion;standard bison;M
Dog;embarrassing python;M
Lion;fat tapir;M
Dog;pregnant antlion;M
Cat;shy marmoset;M
Tiger;crooked lamprey;M
Tiger;disastrous fly;M
Parrot;educational gopher;M
Cat;strong vicuna;M
Lion;gothic hare;Z
Dog;neighbouring ermine;Z
Parrot;whole crow;M
Tiger;embarrassed quelea;Z
Cat;sharp giraffe;M
Tiger;enthusiastic starfish;Z
Bear;short grasshopper;M
Fox;compact otter;M
Dog;critical earwig;M
Lion;dirty llama;Z
Cat;confused baboon;M
Tiger;lovely donkey;Z
Lion;joint swordtail;Z
Fox;hard leopon;M
Lion;near bobolink;M
Donkey;sufficient ferret;M
Bear;low elk;M
Bear;instant bandicoot;Z
Donkey;sophisticated pony;M
Lion;strategic guppy;M
Dog;historic primate;Z
Donkey;long coyote;M
Tiger;mathematical bedbug;M
Donkey;systematic peafowl;M
Fox;added giraffe;Z
Cat;decent butterfly;Z
Parrot;creepy puma;M
Parrot;military leopard;Z
Fox;steady rattlesnake;M
Bear;rainy koi;M
Lizard;grotesque opossum;Z
Dog;harsh canidae;M
Donkey;emotional goldfish;M
Cat;mechanical piranha;Z
Lizard;pleased cattle;Z
Dog;huge donkey;M
Fox;civic dove;Z
Lion;unusual hawk;M
Horse;orange nightingale;M
Cat;gorgeous catfish;Z
Fox;anxious booby;M
Tiger;vast heron;Z
Parrot;high krill;Z
Tiger;steady tarsier;Z
Dog;firm woodpecker;M
Dog;unsightly galliform;M
Lizard;mad zebra;M
Lion;persistent ferret;M
Fox;accepted gecko;M
Parrot;progressive kiwi;Z
Lizard;bright cat;Z
Donkey;metropolitan deer;M
Parrot;tremendous echidna;M
Parrot;melted chinchilla;M
Bear;dirty alpaca;Z
Tiger;better porcupine;Z
Bear;growing tick;Z
Tiger;furious beetle;Z
Fox;handicapped wildebeest;Z
Lion;governing quail;Z
Lion;rude baboon;M
Lion;panicky tiglon;M
Tiger;semantic elephant;Z
Parrot;tough guineafowl;M
Cat;tender skunk;M
Bear;insufficient bovid;M
Donkey;realistic canidae;M
Lizard;diverse alpaca;Z
Donkey;comparative snake;Z
Horse;assistant urial;Z
Donkey;effective cat;M
Dog;integral puffin;Z
Lion;chronic llama;Z
Parrot;loyal fly;Z
Bear;biological earwig;Z
Cat;philosophical wren;Z
Cat;bright deer;M
Bear;ashamed crow;M
Dog;tough nightingale;Z
Bear;bad bison;Z
Donkey;low worm;Z
Parrot;selective coyote;Z
Lion;blind hamster;Z
Donkey;traditional wren;M
Donkey;characteristic hippopotamus;Z
Cat;fiscal wasp;Z
Horse;loud buzzard;M
Lizard;worthy leech;M
Horse;pleasant gamefowl;Z
Horse;delightful cougar;Z
Lizard;stable haddock;M
Donkey;deep xerinae;Z
Dog;depressed eagle;M
Bear;known silkworm;Z
Lizard;short swallow;M
Dog;unexpected mollusk;M
Parrot;ugly vicuna;Z
Horse;salty tern;Z
Donkey;mighty junglefowl;M
Bear;massive thrush;M
Cat;pure koala;M
Cat;historical owl;M
Tiger;outrageous horse;Z
Cat;funny spoonbill;M
Dog;shy wombat;M
Dog;hard donkey;M
Donkey;qualified termite;M
Donkey;middle goat;Z
Tiger;sufficient crayfish;Z
Bear;odd chicken;Z
Fox;dear snail;Z
Cat;instant cicada;Z
Fox;positive tarantula;M
Cat;residential cockroach;Z
Bear;meaningful tarantula;Z
Cat;fortunate cougar;Z
Lizard;definite kingfisher;M
Lion;early flyingfish;M
Cat;ready mastodon;Z
Lizard;busy piranha;Z
Lion;different mastodon;Z
Horse;retail gamefowl;Z
Horse;effective leech;M
Horse;upset rabbit;Z
Fox;visible tyrannosaurus;Z
Bear;disappointed asp;Z
Horse;empirical woodpecker;M
Fox;surrounding yak;M
Bear;elaborate rattlesnake;Z
Cat;depressed puffin;M
Bear;relative bobolink;Z
Donkey;environmental lion;Z
Dog;experienced pigeon;M
Tiger;giant mole;M
Donkey;socialist beetle;Z
Lizard;uniform antelope;Z
Tiger;scrawny yak;M
Dog;busy leopard;M
Horse;content antlion;Z
Horse;level rat;Z
Fox;fortunate guanaco;M
Lizard;automatic lion;M
Tiger;marginal eagle;M
Dog;quaint pinniped;Z
Dog;objective sloth;Z
Cat;ugliest grasshopper;M
Tiger;frightened dove;Z
Lizard;grieving takin;M
Dog;clean echidna;Z
Donkey;disgusted herring;Z
Donkey;remote sparrow;M
Fox;safe rabbit;M
Horse;mature dove;M
Lion;surviving pinniped;M
Parrot;peculiar elk;Z
Lizard;alleged urial;M
Parrot;dangerous ermine;M
Lion;successful mastodon;Z
Lizard;relaxed snipe;Z
Bear;homely ant;M
Lion;ordinary gecko;Z
Dog;resident jay;M
Fox;white koi;Z
Donkey;fond chipmunk;M
Dog;alternative llama;Z
Lion;remarkable bison;Z
Horse;frail chicken;M
Lion;clever crawdad;M
Lion;printed scallop;Z
Bear;likely hummingbird;Z
Horse;informal aardwolf;Z
Tiger;repulsive mollusk;Z
Tiger;empty porcupine;M
Horse;agreed squirrel;Z
Bear;glorious lungfish;M
Horse;musical koi;M
Lion;interim walrus;Z
Tiger;natural panther;Z
Fox;content antelope;Z
Cat;integral mosquito;M
Horse;purring hamster;M
Fox;fierce mink;Z
Bear;aesthetic damselfly;Z
Lizard;then canid;M
Dog;wicked pig;Z
Tiger;enchanting gibbon;M
Bear;thundering nightingale;Z
Donkey;missing elk;Z
Parrot;metropolitan catfish;Z
Fox;embarrassing grasshopper;M
Lizard;easy canid;Z
Tiger;melodic quokka;Z
Parrot;general rook;M
Horse;scary spider;Z
Cat;dirty lynx;Z
Cat;possible kite;M
Horse;civic alpaca;M
Lizard;muddy lynx;Z
Fox;real swordtail;M
Parrot;long koi;Z
Horse;alive aardwolf;Z
Donkey;beautiful lemming;Z
Cat;embarrassing basilisk;Z
Parrot;wet ermine;M
Lion;desirable pig;M
Lion;confused bison;Z
Bear;fortunate hedgehog;M
Parrot;fun tern;M
Lion;precious manatee;Z
Tiger;agreed mockingbird;M
Bear;useful panda;M
Cat;cheerful emu;Z
Bear;olympic grouse;M
Donkey;unsightly stingray;M
Cat;persistent llama;M
Horse;binding capybara;Z
Bear;formal mite;M
Lion;public chicken;M
Tiger;salty mole;Z
Bear;huge rhinoceros;M
Tiger;good mockingbird;Z
Cat;worthwhile possum;Z
Lizard;separate limpet;M
Donkey;spectacular newt;Z
Dog;bumpy limpet;Z
Donkey;husky anglerfish;M
Parrot;ltd xerinae;Z
Bear;continuing jellyfish;Z
Tiger;cognitive bobolink;M
Fox;decent parakeet;M
Bear;unknown herring;M
Tiger;renewed lion;M
Parrot;closed pigeon;Z
Horse;icy marmoset;M
Lizard;spare gamefowl;Z
Cat;supreme fowl;Z
Cat;blonde bee;Z
Horse;contemporary ferret;Z
Lizard;brown peacock;Z
Bear;crooked bee;M
Donkey;black gibbon;M
Donkey;foolish koi;M
Bear;quick wombat;Z
Dog;kind wasp;Z
Cat;efficient alpaca;M
Lion;muddy chameleon;Z
Dog;bright lizard;M
Donkey;super flamingo;M
Dog;elegant wasp;M
Fox;long sailfish;Z
Lion;appropriate eagle;Z
Tiger;nervous aphid;Z
Dog;zealous gorilla;Z
Donkey;multiple woodpecker;Z
Lizard;troubled orangutan;M
Donkey;causal guan;M
Cat;latin cat;M
Horse;uniform rook;Z
Parrot;loyal mite;M
Lizard;then grasshopper;Z
Horse;right horse;Z
Cat;magnetic eagle;Z
Dog;deliberate duck;M
Horse;silent starfish;M
Bear;disastrous guppy;M
Lion;obedient guineafowl;Z
Dog;remarkable eel;Z
Bear;psychiatric goose;M
Fox;easy cuckoo;M
Horse;confidential louse;M
Cat;abstract mule;Z
Fox;social narwhal;Z
Lizard;new guppy;M
Cat;subsequent falcon;M
Tiger;late barracuda;M
Donkey;hard marsupial;Z
Cat;strategic iguana;M
Lizard;industrial gibbon;M
Lion;foreign hare;Z
Parrot;scared boar;Z
Fox;comparable barnacle;Z
Bear;lonely cockroach;Z
Cat;rare cattle;Z
Lizard;careful parrot;M
Fox;cold warbler;Z
Lizard;insufficient tiger;M
Fox;pretty mammal;Z
Lizard;broad gull;M
Donkey;judicial meadowlark;M
Parrot;compatible sparrow;Z
Bear;alleged pike;M
Fox;pregnant tarantula;M
Dog;related beaver;M
Parrot;ideal marmoset;Z
Donkey;inevitable stork;M
Dog;appropriate capybara;Z
Tiger;prickly otter;M
Fox;religious chameleon;Z
Dog;careful guanaco;Z
Parrot;positive basilisk;Z
Donkey;remote bass;M
Tiger;recent eagle;M
Cat;wet cockroach;Z
Lizard;sensible angelfish;M
Cat;tender bedbug;Z
Lion;innocent fowl;M
Lizard;cognitive pinniped;M
Lizard;statistical gorilla;M
Donkey;chubby rhinoceros;M
Dog;sticky shrimp;Z
Dog;charming cattle;M
Cat;pleasant anglerfish;Z
Cat;novel donkey;M
Donkey;disturbed bonobo;M
Parrot;easy xerinae;Z
Bear;conservation capybara;Z
Parrot;juicy ox;M
Tiger;better fowl;M
Lion;straight flyingfish;M
Horse;mixed raven;Z
Bear;hidden beaver;Z
Bear;unpleasant eel;M
Lizard;flexible eagle;Z
Lizard;creepy sawfish;Z
Dog;native cougar;M
Dog;interesting iguana;Z
Bear;perfect landfowl;Z
Tiger;flying tarsier;Z
Fox;surprised smelt;Z
Fox;clean egret;M
Tiger;short slug;Z
Bear;conscious cockroach;Z
Bear;low boar;Z
Fox;irrelevant caterpillar;Z
Fox;extreme ferret;M
Fox;depressed sturgeon;M
Dog;compact scorpion;Z
Bear;cooperative pinniped;Z
Horse;orange cat;M
Donkey;bored cattle;Z
Horse;filthy cattle;Z
Cat;juicy python;Z
Cat;elated mole;M
Horse;weird spider;Z
Cat;striking mammal;Z
Parrot;thirsty minnow;M
Fox;extraordinary prawn;Z
Cat;radical donkey;M
Lizard;legitimate firefly;M
Lizard;conceptual frog;Z
Bear;neat termite;Z
Donkey;public emu;M
Horse;wandering vicuna;M
Cat;tough crow;M
Tiger;reluctant silkworm;M
Lizard;clear lobster;M
Cat;respective marmoset;M
Fox;little trout;Z
Lion;unique meerkat;M
Bear;Sound piranha;Z
Bear;fierce falcon;Z
Cat;tiny sparrow;M
Cat;famous lynx;M
Parrot;sad cuckoo;M
Bear;future bandicoot;Z
Tiger;bad narwhal;M
Lion;chemical heron;Z
Parrot;industrial dinosaur;Z
Bear;blue sparrow;Z
Cat;silent ocelot;Z
Lion;dizzy tahr;Z
Donkey;bare scallop;M
Horse;tragic alpaca;Z
Dog;supposed swift;M
Donkey;kind horse;M
Tiger;early limpet;Z
Lizard;ratty chinchilla;Z
Bear;socialist scallop;Z
Parrot;unusual flamingo;M
Bear;bad yak;Z
Cat;crazy angelfish;Z
Fox;frightened meadowlark;Z
Fox;strange panda;M
Donkey;potential junglefowl;Z
Lizard;burning boar;M
Lizard;chief gull;M
Dog;organisational ostrich;Z
Tiger;shallow gibbon;Z
Lizard;quiet donkey;Z
Donkey;ethical antelope;M
Dog;slow pelican;M
Dog;cruel mouse;Z
Horse;fluttering boa;M
Parrot;bright aphid;Z
Donkey;good catshark;M
Lizard;charming canid;Z
Dog;broken guan;Z
Parrot;chubby butterfly;M
Cat;lesser toad;Z
Fox;awkward wildebeest;Z
Tiger;weak mosquito;M
Cat;unusual dog;M
Horse;naughty turtle;Z
Parrot;warm llama;M
Horse;emotional firefly;Z
Parrot;organisational starfish;M
Lizard;various krill;M
Cat;sore llama;M
Bear;adjacent echidna;Z
Donkey;confidential egret;Z
Bear;ill possum;Z
Lion;fascinating puffin;Z
Bear;legal clownfish;Z
Tiger;late hornet;M
Lizard;fair barnacle;M
Donkey;visible buzzard;M
Lion;latin chicken;Z
Bear;furious haddock;Z
Dog;helpless sailfish;Z
Tiger;mathematical cardinal;M
Dog;whole parrot;M
Lion;joint mole;Z
Cat;symbolic ostrich;M
Bear;socialist slug;M
Bear;skilled gayal;M
Dog;managerial roadrunner;Z
Dog;married lark;Z
Bear;advisory halibut;Z
Tiger;quaint squid;M
Fox;damp silverfish;Z
Horse;abstract guan;Z
Cat;annoyed primate;M
Lion;gradual catshark;M
Dog;literary loon;M
Cat;balanced primate;M
Cat;fixed vicuna;Z
Fox;beautiful pigeon;M
Cat;okay warbler;M
Horse;wicked coyote;Z
Fox;probable constrictor;M
Donkey;brilliant opossum;Z
Donkey;furious ocelot;M
Donkey;agreed rooster;M
Dog;agricultural panda;M
Horse;salty pinniped;Z
Cat;blushing bug;M
Bear;soft finch;M
Fox;left gecko;M
Fox;rigid goldfish;M
Bear;full porpoise;M
Donkey;lovely dragonfly;M
Cat;missing deer;M
Parrot;enchanting capybara;Z
Tiger;modest vulture;M
Donkey;healthy mouse;M
Lion;obnoxious grasshopper;Z
Cat;psychiatric goose;M
Donkey;horrible clownfish;Z
Lion;parallel junglefowl;M
Tiger;roman xerinae;M
Cat;occasional asp;M
Lizard;greek owl;Z
Fox;desirable reindeer;Z
Donkey;imaginative tyrannosaurus;M
Parrot;hurt antlion;M
Fox;witty vole;M
Bear;itchy butterfly;M
Donkey;then bird;M
Dog;dead porpoise;M
Parrot;heavy crayfish;Z
Cat;open condor;M
Donkey;external locust;M
Fox;anxious gayal;Z
Parrot;afraid marsupial;Z
Parrot;wild mockingbird;Z
Parrot;white earwig;M
Bear;high cow;M
Cat;muddy kite;Z
Bear;liquid clam;Z
Lion;guilty bass;Z
Parrot;continuous landfowl;M
Horse;inadequate toad;Z
Tiger;international hookworm;Z
Parrot;advanced toad;M
Donkey;exclusive rook;Z
Dog;able pigeon;M
Bear;crooked warbler;Z
Parrot;criminal guppy;M
Bear;remaining sturgeon;M
Horse;suitable bison;M
Fox;native raven;Z
Lion;elaborate anteater;Z
Dog;safe jay;Z
Parrot;voiceless sturgeon;M
Fox;innovative prawn;Z
Dog;residential butterfly;Z
Fox;rapid panther;Z
Tiger;illegal whippet;M
Horse;qualified boa;Z
Donkey;upset felidae;M
Lion;peaceful gerbil;Z
Horse;stupid goose;Z
Lion;urban hummingbird;M
Lion;racial moose;Z
Bear;functional salamander;M
Tiger;productive frog;M
Lion;loose amphibian;M
Bear;dear kite;Z
Cat;compact iguana;M
Lion;theoretical dog;Z
Dog;spectacular bedbug;M
Parrot;corresponding cuckoo;M
Bear;content hookworm;M
Lion;smooth mollusk;Z
Parrot;united gerbil;M
Lizard;unusual cardinal;M
Cat;progressive gopher;Z
Dog;formal hare;Z
Cat;tart anteater;Z
Parrot;corporate alpaca;M
Parrot;labour sheep;M
Lion;superior weasel;M
Cat;wooden stoat;M
Lion;light heron;M
Horse;electrical buzzard;M
Donkey;payable flea;M
Horse;subsequent dinosaur;M
Horse;enthusiastic ape;Z
Horse;persistent hornet;Z
Lizard;opposite ox;Z
Horse;round whale;M
Bear;jolly bat;Z
Cat;artificial minnow;M
Parrot;cute goldfish;M
Bear;slippery orangutan;Z
Fox;variable aphid;M
Donkey;foolish frog;Z
Bear;old owl;M
Bear;disastrous parrot;M
Tiger;long guanaco;M
Tiger;huge pony;M
Parrot;hushed goat;M
Lizard;grateful rabbit;Z
Tiger;adverse possum;M
Fox;mighty gopher;M
Parrot;respectable snipe;M
Parrot;lexical puffin;Z
Fox;charming spider;Z
Bear;tragic mandrill;M
Dog;tasty tarsier;M
Fox;fast badger;M
Bear;skinny tiglon;Z
Parrot;lengthy emu;M
Bear;sticky takin;M
Donkey;scattered barracuda;Z
Bear;deafening zebra;Z
Dog;cool cheetah;Z
Bear;spatial iguana;Z
Lizard;subtle mackerel;M
Lion;identical lungfish;M
Horse;white gayal;Z
Fox;tender whitefish;M
Parrot;broken bear;M
Dog;flexible sparrow;M
Cat;kind clam;Z
Bear;sharp hummingbird;Z
Fox;better silkworm;Z
Horse;nice dog;M
Fox;mushy hookworm;Z
Donkey;dull blackbird;Z
Fox;prime bug;M
Tiger;homeless lizard;Z
Lion;awful goat;M
Tiger;crooked perch;Z
Lizard;fun basilisk;M
Bear;slippery wallaby;Z
Dog;unpleasant guanaco;Z
Tiger;long gazelle;M
Horse;tired sheep;M
Dog;amazing dormouse;Z
Horse;narrow mackerel;Z
Lion;scrawny guanaco;Z
Fox;small lemur;M
Bear;delighted reindeer;M
Donkey;gentle tern;Z
Tiger;mathematical silverfish;M
Lion;intellectual flea;Z
Tiger;feminist swan;M
Lizard;courageous porpoise;M
Lion;mental toad;Z
Lion;numerous bandicoot;Z
Cat;popular rattlesnake;M
Lion;french constrictor;Z
Dog;western mink;M
Dog;structural fowl;Z
Parrot;greek dog;Z
Horse;blushing woodpecker;Z
Cat;fantastic eagle;Z
Lion;retail canidae;Z
Lion;charming lemming;M
Dog;molecular primate;Z
Fox;crazy salmon;Z
Cat;naval bass;M
Dog;wet leech;M
Cat;relevant cardinal;Z
Fox;residential alligator;M
Fox;magic python;Z
Horse;disastrous prawn;M
Dog;horizontal ant;Z
Fox;extreme wildfowl;Z
Lion;inevitable wildcat;Z
Fox;slippery mockingbird;M
Lion;heavy cockroach;Z
Cat;intimate buzzard;Z
Fox;horrible donkey;Z
Lion;slippery anaconda;Z
Fox;intimate tapir;Z
Donkey;middle lemur;Z
Tiger;clean pinniped;M
Parrot;round ermine;Z
Donkey;electoral cat;Z
Cat;crazy duck;M
Parrot;critical halibut;M
Fox;presidential tortoise;M
Donkey;manual walrus;Z
Lion;united camel;Z
Fox;imaginative tick;M
Tiger;evolutionary ape;M
Lizard;useless ostrich;M
Horse;safe reindeer;Z
Lizard;clean cephalopod;M
Fox;fast parrot;M
Dog;big chipmunk;Z
Bear;curious chicken;M
Tiger;wee vole;M
Horse;probable deer;Z
Horse;unconscious crane;M
Donkey;complex koala;Z
Parrot;steep earthworm;Z
Lion;important lemming;Z
Dog;unwilling horse;M
Donkey;genuine whale;Z
Fox;unsightly rook;Z
Lion;homely wombat;M
Lion;shy trout;Z
Lion;evil wasp;M
Bear;nuclear goose;M
Bear;fancy viper;M
Bear;numerous skunk;M
Fox;graceful boa;Z
Horse;misleading whitefish;Z
Lion;mobile bee;Z
Parrot;prominent ermine;Z
Bear;amateur barracuda;Z
Parrot;constant puffin;M
Horse;symbolic toad;Z
Bear;unaware hare;Z
Horse;ratty orangutan;M
Tiger;wonderful sparrow;Z
Horse;awful snake;M
Horse;usual gull;M
Fox;magenta antelope;Z
Bear;dangerous porcupine;M
Tiger;precious wildcat;Z
Dog;weary tern;M
Lion;homely boar;Z
Dog;live deer;M
Lion;low mite;M
Bear;classical owl;M
Parrot;verbal flamingo;Z
Lizard;quiet sloth;Z
Horse;distinguished basilisk;M
Fox;anonymous flamingo;M
Dog;clear tuna;M
Dog;adverse goldfish;Z
Horse;quaint dragon;M
Dog;pretty hyena;Z
Horse;continental skink;Z
Lion;long bovid;Z
Horse;wooden cattle;M
Lizard;female earthworm;Z
Fox;charming roadrunner;M
Donkey;operational wildfowl;M
Donkey;costly minnow;Z
Donkey;quick chickadee;Z
Tiger;quaint egret;Z
Horse;courageous marsupial;Z
Tiger;increased donkey;Z
Cat;wandering horse;Z
Donkey;tasty xerinae;M
Parrot;uncertain egret;M
Fox;right wildebeest;Z
Lion;superior mole;M
Bear;courageous gayal;M
Bear;bad goat;M
Donkey;sad felidae;M
Donkey;bright constrictor;M
Bear;green dormouse;M
Parrot;proposed galliform;M
Donkey;thundering dormouse;Z
Donkey;powerful pig;M
Donkey;formal eagle;M
Bear;naughty orca;Z
Dog;damaged ladybug;M
Lion;relevant hoverfly;M
Cat;grey dormouse;M
Parrot;parallel duck;M
Parrot;registered emu;M
Bear;selfish bobolink;M
Cat;horizontal tuna;Z
Tiger;victorian ox;M
Horse;short mink;Z
Bear;outstanding parrotfish;M
Cat;pink echidna;Z
Fox;distinguished swordtail;Z
Lion;awful asp;M
Donkey;valuable clownfish;M
Parrot;screeching planarian;Z
Cat;passive swan;Z
Fox;tall platypus;M
Donkey;supporting dog;Z
Dog;ill kangaroo;Z
Donkey;sexual yak;M
Horse;shallow rodent;Z
Lion;conceptual moth;M
Donkey;intensive pig;Z
Fox;swiss toad;M
Bear;nearby catshark;M
Bear;special wombat;Z
Bear;graceful coyote;M
Parrot;interim ant;M
Cat;magnificent mandrill;Z
Bear;only spider;Z
Dog;cruel wildcat;Z
Lion;spontaneous cattle;M
Tiger;occasional dolphin;M
Fox;sensible hamster;Z
Fox;united turtle;M
Fox;afraid meerkat;M
Cat;wealthy panther;Z
Donkey;unfortunate cockroach;M
Tiger;added tahr;M
Dog;little roundworm;Z
Lizard;dominant bat;Z
Bear;rear ladybug;M
Horse;historic otter;Z
Dog;lexical landfowl;Z
Cat;alive roundworm;M
Horse;significant iguana;Z
Tiger;electric bedbug;Z
Tiger;gigantic barnacle;M
Donkey;long guppy;M
Bear;mean chicken;M
Dog;curved constrictor;Z
Dog;abundant goldfish;Z
Fox;human harrier;Z
Donkey;prepared cattle;M
Parrot;intimate walrus;M
Lion;careful reptile;M
Dog;current hookworm;M
Bear;gigantic bear;Z
Dog;weary owl;Z
Dog;nuclear clam;Z
Bear;voiceless viper;M
Bear;inadequate beaver;M
Donkey;anonymous cat;Z
